theme_id,label,status,questions,errors
combinatoire-denombrement,Combinatoire et dénombrement,ok,10,
geometrie-vecteurs-espace,"Vecteurs, droites et plans de l’espace",ok,10,
geometrie-orthogonalite-distances,Orthogonalité et distances dans l’espace,ok,10,
geometrie-reperage,Représentations paramétriques et équations cartésiennes,ok,10,
suites,Suites,ok,10,
limites-fonctions,Limites de fonctions,ok,10,
derivation-convexite,Dérivation et convexité,ok,10,
continuite,Continuité et théorème des valeurs intermédiaires,ok,10,
logarithme,Fonction logarithme,ok,10,
trigonometrie,Fonctions sinus et cosinus,ok,10,
primitives-equations-differentielles,Primitives et équations différentielles,ok,10,
calcul-integral,Calcul intégral,ok,10,
bernoulli-binomiale,Schéma de Bernoulli et loi binomiale,ok,10,
variables-aleatoires,Sommes de variables aléatoires,ok,10,
concentration-grands-nombres,Concentration et loi des grands nombres,ok,10,
algorithmique-python,Algorithmique et Python,ok,10,
logique-raisonnement,"Logique, ensembles et raisonnement",ok,10,
